#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,16.0,0.0,3273.5,56462.5,3.4287820537547304e-05,0.0
2020-01-23,7.0,0.0,6818.5,57003.0,1.6099615219196262e-05,0.0
2020-01-24,11.0,0.0,4485.5,57934.5,2.3849220889315765e-05,0.0
2020-01-25,3.0,0.0,12526.0,52137.5,7.741296202636169e-06,0.0
2020-01-26,,,,,,
2020-01-27,1.0,0.0,43044.0,53564.5,2.4207623949086524e-06,0.0
2020-01-28,4.0,2.0,10866.0,6463.0,8.656490961541375e-06,1.6329196603527108e-05
2020-01-29,,,,,,
2020-01-30,1.0,1.0,46506.5,27373.5,2.246504439092772e-06,7.338803187976104e-06
2020-01-31,1.0,1.0,47529.0,27621.5,2.3417942359076683e-06,7.482229704451925e-06
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,3.0,0.0,13748.0,55355.5,7.065706358664676e-06,0.0
2020-02-04,,,,,,
2020-02-05,3.0,1.0,13438.5,26228.0,6.928150460952944e-06,7.889919838414442e-06
2020-02-06,5.0,3.0,8556.0,3835.5,1.2407902344845386e-05,2.352018816150529e-05
2020-02-07,,,,,,
2020-02-08,5.0,1.0,7980.0,25197.5,1.3553147311868762e-05,8.228962656967463e-06
2020-02-09,,,,,,
2020-02-10,1.0,0.0,44504.5,54899.5,1.820376198945274e-06,0.0
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,2.0,0.0,22022.0,57651.5,3.0731974160556124e-06,0.0
2020-02-19,,,,,,
2020-02-20,19.0,2.0,3705.5,8288.5,2.9719262461756e-05,1.2670256572695595e-05
2020-02-21,2.0,1.0,21023.5,27914.5,3.922960893964328e-06,7.244119585926125e-06
2020-02-22,3.0,0.0,13198.0,54326.0,7.167670937005728e-06,0.0
2020-02-23,3.0,0.0,13152.5,53744.0,7.6165909662153426e-06,0.0
2020-02-24,3.0,2.0,13517.5,6740.0,7.128701578294528e-06,1.5540257035851378e-05
2020-02-25,6.0,2.0,7854.0,6835.0,1.3381357538722305e-05,1.5349311967091074e-05
2020-02-26,9.0,4.0,5652.5,2841.5,1.917741667412455e-05,3.073518564052127e-05
2020-02-27,4.0,3.0,11085.0,3976.5,8.757180888328431e-06,2.278319511528297e-05
2020-02-28,4.0,3.0,11366.0,3942.5,8.688380377292917e-06,2.2729855665416524e-05
2020-02-29,1.0,1.0,45137.0,26001.5,2.4461241163376633e-06,8.080938681837282e-06
2020-03-01,1.0,0.0,45807.5,56056.5,2.2298483034199185e-06,0.0
2020-03-02,1.0,0.0,46184.5,56689.5,2.189338360054208e-06,0.0
2020-03-03,1.0,1.0,47075.0,27715.5,2.2034245624549675e-06,7.41581199433432e-06
2020-03-04,1.0,1.0,47874.0,28083.5,1.978622957566452e-06,7.230135203528307e-06
2020-03-05,2.0,2.0,20653.5,7035.5,4.211891855464719e-06,1.4742304517042105e-05
2020-03-06,4.0,4.0,11320.0,2884.5,8.172872601261893e-06,2.9559125641063538e-05
2020-03-07,2.0,1.0,17840.5,25032.5,4.952996067321122e-06,8.391444083612351e-06
2020-03-08,7.0,2.0,6611.5,7366.5,1.5429921704168725e-05,1.4772794421792825e-05
2020-03-09,2.0,2.0,19336.5,6285.0,4.432997459892456e-06,1.6091787556220683e-05
2020-03-10,2.0,2.0,19551.0,6680.5,4.479333475178893e-06,1.5679633723756218e-05
2020-03-11,10.0,4.0,5622.0,3097.5,1.4862462769530762e-05,2.7440488440694244e-05
2020-03-12,4.0,2.0,12574.0,7397.5,7.179910610112904e-06,1.4284591924920184e-05
2020-03-13,5.0,4.0,11155.0,3315.0,8.226024839304605e-06,2.718129926610492e-05
2020-03-14,8.0,4.0,7125.5,2898.0,1.4190385304436978e-05,2.9530974300669616e-05
2020-03-15,6.0,2.0,8280.5,7144.0,1.162227602905569e-05,1.4149274849663956e-05
2020-03-16,4.0,2.0,12495.0,7748.0,7.056341357569514e-06,1.3468739056649515e-05
2020-03-17,6.0,6.0,9090.5,2214.5,9.603672444342718e-06,3.756903309831816e-05
2020-03-18,16.0,7.0,3514.0,1747.0,3.16448185565216e-05,4.6080219078527284e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
