#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,1.0,44223.5,26369.0,2.319222411110003e-06,7.920603866838809e-06
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,2.0,1.0,19279.0,26486.0,4.700871776670983e-06,7.751817801274399e-06
2020-02-15,2.0,0.0,19603.0,54744.0,4.6087834194407705e-06,0.0
2020-02-16,4.0,1.0,10357.5,24392.5,9.375036621236802e-06,8.609111884018045e-06
2020-02-17,2.0,0.0,18872.5,54676.0,4.845266416973937e-06,0.0
2020-02-18,,,,,,
2020-02-19,6.0,1.0,8272.0,26780.0,1.1190835451820656e-05,7.652338937396215e-06
2020-02-20,16.0,2.0,4355.0,8288.5,2.502674733621558e-05,1.2670256572695595e-05
2020-02-21,8.0,1.0,6411.5,27914.5,1.5691843575857313e-05,7.244119585926125e-06
2020-02-22,3.0,0.0,13198.0,54326.0,7.167670937005728e-06,0.0
2020-02-23,9.0,0.0,5091.0,53744.0,2.2849772898646025e-05,0.0
2020-02-24,,,,,,
2020-02-25,8.0,1.0,6008.0,27382.5,1.7841810051629738e-05,7.674655983545537e-06
2020-02-26,6.0,2.0,8021.5,6958.0,1.2784944449416368e-05,1.5367592820260634e-05
2020-02-27,6.0,2.0,7900.0,6884.0,1.3135771332492646e-05,1.5188796743521979e-05
2020-02-28,19.0,0.0,2857.0,56358.0,4.1269806792141355e-05,0.0
2020-02-29,2.0,1.0,19219.0,26001.5,4.892248232675327e-06,8.080938681837282e-06
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,3.0,1.0,14164.5,27715.5,6.610273687364903e-06,7.41581199433432e-06
2020-03-04,5.0,0.0,9986.5,58854.5,9.89311478783226e-06,0.0
2020-03-05,2.0,1.0,20653.5,27671.0,4.211891855464719e-06,7.371152258521052e-06
2020-03-06,2.0,0.0,19825.5,56957.0,4.086436300630947e-06,0.0
2020-03-07,3.0,1.0,12491.0,25032.5,7.429494100981683e-06,8.391444083612351e-06
2020-03-08,8.0,1.0,5931.0,26380.0,1.7634196233335683e-05,7.386397210896412e-06
2020-03-09,6.0,1.0,7820.0,25413.0,1.3298992379677366e-05,8.045893778110342e-06
2020-03-10,5.0,2.0,9251.5,6680.5,1.1198333687947232e-05,1.5679633723756218e-05
2020-03-11,6.0,3.0,8519.5,4336.5,8.917477661718457e-06,2.0580366330520686e-05
2020-03-12,22.0,3.0,2977.0,4380.5,3.948950835562097e-05,2.142688788738028e-05
2020-03-13,32.0,3.0,2093.0,4624.0,5.264655897154947e-05,2.0385974449578688e-05
2020-03-14,32.0,3.0,1934.5,4144.5,5.676154121774791e-05,2.214823072550221e-05
2020-03-15,4.0,1.0,11370.5,28238.0,7.74818401937046e-06,7.074637424831978e-06
2020-03-16,3.0,2.0,15712.5,7748.0,5.2922560181771345e-06,1.3468739056649515e-05
2020-03-17,2.0,1.0,22566.0,30605.5,3.2012241481142388e-06,6.26150551638636e-06
2020-03-18,4.0,2.0,11949.0,7771.0,7.9112046391304e-06,1.3165776879579222e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
