#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,2.0,2.0,48772.0,16333.0,5.408523346026236e-07,3.69892934490112e-06
2020-01-22,19.0,11.0,10696.0,4123.0,5.557261732403223e-06,2.2335524245211565e-05
2020-01-23,10.0,2.0,16406.0,15752.5,2.9518195163089514e-06,4.056959714390036e-06
2020-01-24,17.0,2.0,11189.5,15319.5,5.198193352611496e-06,4.26100350893639e-06
2020-01-25,50.0,8.0,5229.0,5324.0,1.5138656468460275e-05,1.627249927282269e-05
2020-01-26,12.0,3.0,13652.0,11125.0,3.841526776402013e-06,6.246057176407392e-06
2020-01-27,54.0,10.0,5061.0,4786.5,1.62459370114937e-05,1.9410729086395216e-05
2020-01-28,62.0,20.0,4913.5,2764.5,1.720815933201256e-05,3.644979041370512e-05
2020-01-29,55.0,14.0,4989.0,3449.5,1.7197695008572268e-05,2.942820988199288e-05
2020-01-30,93.0,17.0,3580.5,3113.5,2.531777896108903e-05,3.171914007545424e-05
2020-01-31,139.0,23.0,2439.5,2193.5,4.359221148306662e-05,4.7959830514129385e-05
2020-02-01,69.0,8.0,4078.0,5123.5,2.3586526145664232e-05,1.7794346291324588e-05
2020-02-02,70.0,6.0,4003.5,6400.0,2.334161960829428e-05,1.3599428823989393e-05
2020-02-03,78.0,20.0,3758.0,2489.0,2.527172777294843e-05,4.2381770752763824e-05
2020-02-04,33.0,5.0,6843.5,7781.5,1.1063864312768069e-05,1.0472849138608158e-05
2020-02-05,20.0,8.0,10639.5,5923.5,5.2251859186464694e-06,1.370409769651248e-05
