#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,1.0,0.0,83520.0,82606.0,2.775509569679445e-07,0.0
2020-01-29,,,,,,
2020-01-30,1.0,1.0,83647.0,35700.0,2.722341823773013e-07,1.8658317691443667e-06
2020-01-31,,,,,,
2020-02-01,12.0,1.0,13469.5,33715.5,4.1020045470720405e-06,2.224293286415573e-06
2020-02-02,,,,,,
2020-02-03,1.0,0.0,76825.5,76059.0,3.239965099095953e-07,0.0
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,2.0,0.0,44841.0,76026.5,6.232919851818565e-07,0.0
2020-02-17,1.0,0.0,76585.5,75327.0,3.031258335960424e-07,0.0
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,2.0,1.0,46452.5,35886.0,5.746507201091837e-07,1.8541248716018528e-06
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,1.0,1.0,76596.5,35486.5,3.132207012572992e-07,2.053286901672197e-06
2020-03-12,5.0,1.0,25102.5,36765.0,1.480217485394694e-06,1.89628820546662e-06
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,2.0,1.0,44552.5,36346.5,5.88204326889849e-07,1.883533584345576e-06
2020-03-17,2.0,2.0,49653.5,17875.0,5.006457078016372e-07,3.0912426640947524e-06
2020-03-18,1.0,1.0,83531.0,39080.5,2.6070486775093825e-07,1.6282057335636704e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
