وائرس,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,12.0,2.0,13822.0,14765.5,3.816004960806449e-06,4.492867572728294e-06
2020-01-02,4.0,3.0,28567.5,11767.0,1.1938987000830953e-06,5.294983532601214e-06
2020-01-03,1.0,0.0,81594.5,80458.5,2.785690686934609e-07,0.0
2020-01-04,2.0,2.0,46187.0,15775.5,5.970266876899665e-07,3.865922090072118e-06
2020-01-05,9.0,4.0,17271.5,9281.5,2.581640804840864e-06,7.530843510954553e-06
2020-01-06,1.0,0.0,74823.0,74909.0,3.310636711584281e-07,0.0
2020-01-07,4.0,2.0,29598.0,16747.5,1.127894494493196e-06,3.278462794364978e-06
2020-01-08,8.0,5.0,17399.5,7475.0,2.6414557326688307e-06,1.0297112895486364e-05
2020-01-09,21.0,8.0,9215.5,5128.0,7.175179618663121e-06,1.7286308811263758e-05
2020-01-10,3.0,2.0,31643.0,14673.0,1.0294423956634396e-06,4.387013562452429e-06
2020-01-11,5.0,3.0,24784.0,10935.0,1.5752293297619734e-06,6.3214588241243725e-06
2020-01-12,4.0,2.0,27845.5,15512.5,1.3355128903704178e-06,4.273513404943174e-06
2020-01-13,4.0,4.0,27677.0,9454.5,1.269830788698252e-06,7.72990177227323e-06
2020-01-14,9.0,1.0,17084.0,34647.5,2.783565704367384e-06,2.0289984457871902e-06
2020-01-15,9.0,1.0,17118.0,34498.5,2.688012271672024e-06,2.071632923219069e-06
2020-01-16,5.0,4.0,24199.5,9117.0,1.5084426024013803e-06,7.840062720501764e-06
2020-01-17,5.0,4.0,23987.0,8905.5,1.6143300853012017e-06,8.39602364320258e-06
2020-01-18,17.0,7.0,10994.5,6116.0,5.302569281966617e-06,1.3631937682570594e-05
2020-01-19,8.0,3.0,18536.5,11693.0,2.2903742156541926e-06,5.684272754143835e-06
2020-01-20,13.0,7.0,13976.0,6311.5,3.739893297967369e-06,1.3182699025798542e-05
2020-01-21,25.0,17.0,9426.5,3181.0,6.760654182532795e-06,3.1440899431659506e-05
2020-01-22,113.0,36.0,2965.0,1525.0,3.3051082934819174e-05,7.309807934796513e-05
2020-01-23,255.0,41.0,1491.5,1345.5,7.527139766587823e-05,8.316767414499574e-05
2020-01-24,326.0,68.0,1209.0,811.5,9.968300193831457e-05,0.00014487411930383726
2020-01-25,530.0,92.0,798.5,637.0,0.0001604697585656789,0.00018713374163746092
2020-01-26,289.0,49.0,1238.5,1108.5,9.251676986501516e-05,0.00010201893388132074
2020-01-27,942.0,145.0,412.0,411.0,0.00028340134564494563,0.0002814555717527306
2020-01-28,940.0,163.0,459.5,395.0,0.00026089789954986787,0.00029706579187169685
2020-01-29,1432.0,273.0,263.0,207.5,0.00044776544095046346,0.0005738500926988613
2020-01-30,1923.0,338.0,233.0,196.5,0.0005235063327115503,0.000630651137970796
2020-01-31,2632.0,441.0,135.0,123.0,0.0008254295008879952,0.000919577619857872
2020-02-01,2643.0,411.0,125.0,127.0,0.0009034665014926168,0.0009141845407168008
2020-02-02,2974.0,375.0,115.0,140.0,0.000991685381643817,0.000849964301499337
